,title,text,name,date,stars,color,is_vine_voice,has_images,found_helpful,verified_purchase,keywords,label,full_text_clean,subset
272,Excellent product for the price.,"Verified Purchase
Very solid product, for the price. I had to have a product that could control volume and song skipping via the earpieces and with a button, and not those annoying touch sensors. This product does that. The only thing I'm disappointed in is that the case, although narrow in circumference, is a little too tall to comfortably keep in a pocket that has other items in it, as well. Yeah, I just wish it wasn't so tall in build. Otherwise ... great.",B,2020-09-05,4,black,False,False,0,True,verified purchase|Verified Purchase|solid product|tall|annoying touch sensors|price|control volume|volume and song|song skipping|button|Yeah|great|narrow in circumference,1,"Excellent product for the price.. Verified Purchase Very solid product, for the price. I had to have a product that could control volume and song skipping via the earpieces and with a button, and not those annoying touch sensors. This product does that. The only thing I'm disappointed in is that the case, although narrow in circumference, is a little too tall to comfortably keep in a pocket that has other items in it, as well. Yeah, I just wish it wasn't so tall in build. Otherwise ... great.",train
337,My daughter loves these,Got these for my daughter as she gets ready for school she has started to use them already. Would purchase again.,Dani,2023-08-10,5,,False,False,0,True,ready for school|daughter|started|purchase,0,My daughter loves these. Got these for my daughter as she gets ready for school she has started to use them already. Would purchase again.,train
17,What's not to Love?,"I recently ordered the BOLOXA A17 Bluetooth Headphones Stereo Sound for Sports. I was unsure about ordering them because they were different from what I usually use. I have never used ear buds with the loop that wraps around your ears and was a tad leery. These are now my favorite! The ear buds and loop are so comfortable. I almost forget I’m wearing them. The loops are not rigid, but very flexible and sit comfortably on my ears. The buds I normally wear are loop less but more rigid and become uncomfortable after wearing them for a few hours. The Boloxa A17 can be worn for hours without irritation. They do not unexpectedly pop out of my ear during use, either. I’m no longer having to look all over for earbuds that decided to fall out of my ear.
Not only are they comfortable, but the sound is also fantastic! The bass is phenomenal. Sometimes I only use one bud while I’m at work. The sound is still great! The button controls on the buds make it easy to operate the different functions of the buds. If someone walks in and I must have a conversation with someone I just tap the button and it pauses. Phone calls are clear and easy to answer as well.
The charge lasts for a long time. I can get about 8 hours of use out of one charge. If I wear only one bud, I can get double the time. I switch them out when one bud needs charging. The case is also very nice. I don’t have to plug the case in to charge every day. Normally, I can get 3 days out of one charge.
I plan to order another pair of the of the Boloxa A17 so I have a pair at work and a pair for home. I’m highly satisfied with this purchase. I have not found a better set of earbuds at this price point.",tammi,2023-08-01,5,,False,False,0,True,i’m highly satisfied|forget i’m wearing|tad leery|sit comfortably|boloxa a17|unexpectedly pop|phone calls|price point|buds make|button controls|long time|charge lasts|Bluetooth Headphones Stereo|Headphones Stereo Sound|recently ordered|ordered the BOLOXA|Sound for Sports|ear buds|loop,0,"What's not to Love?. I recently ordered the BOLOXA A17 Bluetooth Headphones Stereo Sound for Sports. I was unsure about ordering them because they were different from what I usually use. I have never used ear buds with the loop that wraps around your ears and was a tad leery. These are now my favorite! The ear buds and loop are so comfortable. I almost forget I'm wearing them. The loops are not rigid, but very flexible and sit comfortably on my ears. The buds I normally wear are loop less but more rigid and become uncomfortable after wearing them for a few hours. The Boloxa A17 can be worn for hours without irritation. They do not unexpectedly pop out of my ear during use, either. I'm no longer having to look all over for earbuds that decided to fall out of my ear. Not only are they comfortable, but the sound is also fantastic! The bass is phenomenal. Sometimes I only use one bud while I'm at work. The sound is still great! The button controls on the buds make it easy to operate the different functions of the buds. If someone walks in and I must have a conversation with someone I just tap the button and it pauses. Phone calls are clear and easy to answer as well. The charge lasts for a long time. I can get about 8 hours of use out of one charge. If I wear only one bud, I can get double the time. I switch them out when one bud needs charging. The case is also very nice. I don't have to plug the case in to charge every day. Normally, I can get 3 days out of one charge. I plan to order another pair of the of the Boloxa A17 so I have a pair at work and a pair for home. I'm highly satisfied with this purchase. I have not found a better set of earbuds at this price point.",train
245,Great Earbuds But...,"Verified Purchase
These are great if you want something similar to air pods, but don't want to pay the price for them, they are slightly water proof too! I dropped one into a sink full of water, I got it quickly and dried it off and still works three weeks later. Good sound and easy to set up to my phone (note 9), my only issue with them is the plastic ear piece that goes into your ear, there are several sizes to go with but, sometimes they feel like they could wiggle out if not put in right. Still a good price and highly recommend for people working out and want wireless earbuds for what ever reason. Not sure on calls or anything as I don't use them for that.",Jon,2020-07-31,4,black,False,False,0,True,verified purchase|good sound|highly recommend|people working|wireless earbuds|Verified Purchase|slightly water proof|air pods|similar to air|Good|sink full|quickly and dried|works three weeks|good price|note|plastic ear piece|great,1,"Great Earbuds But.... Verified Purchase These are great if you want something similar to air pods, but don't want to pay the price for them, they are slightly water proof too! I dropped one into a sink full of water, I got it quickly and dried it off and still works three weeks later. Good sound and easy to set up to my phone (note 9), my only issue with them is the plastic ear piece that goes into your ear, there are several sizes to go with but, sometimes they feel like they could wiggle out if not put in right. Still a good price and highly recommend for people working out and want wireless earbuds for what ever reason. Not sure on calls or anything as I don't use them for that.",train
314,Works well,"The headphones were easy to connect to my devices, and are comfortable to wear. The sound quality is good and I can hear whatever I’m listening to in busy environments.",Dan Cool,2023-08-10,5,,False,False,0,True,i’m listening|comfortable to wear|headphones were easy|easy to connect|devices|busy environments|sound quality|quality is good|hear,0,"Works well. The headphones were easy to connect to my devices, and are comfortable to wear. The sound quality is good and I can hear whatever I'm listening to in busy environments.",train
269,Happy with these,"Verified Purchase
Overall, my experience has been really positive. Haven’t yet used these in water but have tried wearing with just one headphone and it works. Sound quality is similar to other cell phone headphones (good but not mind-blowing). I also enjoy that these headphones pair easily (and my phone remembers so I do not have to re-pair). Additionally, I like the fit and the case having magnets that hold your headphones in place.
...Also, a great feature (compared to Apple AirPods) is that you can change the volume with buttons on the headphones.
Note: I received this product for free in exchange for a review.",Dave,2020-03-03,4,black,False,False,2,True,headphones pair easily|cell phone headphones|phone remembers|verified purchase|sound quality|great feature|apple airpods|Verified Purchase|compared to Apple|Apple AirPods|positive|experience|works|Additionally|Sound quality|Note|good|mind-blowing|n’t|water|wearing,1,"Happy with these. Verified Purchase Overall, my experience has been really positive. Haven't yet used these in water but have tried wearing with just one headphone and it works. Sound quality is similar to other cell phone headphones (good but not mind-blowing). I also enjoy that these headphones pair easily (and my phone remembers so I do not have to re-pair). Additionally, I like the fit and the case having magnets that hold your headphones in place. ...Also, a great feature (compared to Apple AirPods) is that you can change the volume with buttons on the headphones. Note: I received this product for free in exchange for a review.",test
388,Great headphones,"These headphones are great. They hold a charge for a long time and easy to adjust to any size, especially for people with a lot of hair (me). What I like the most is the three different music modes at a touch of a button. I listen to a lot of audiobooks and these music modes enhance my audiobook experience. Definitely worth the purchase.",Izzie Wroblewski,2023-08-17,5,,True,True,0,False,headphones are great|lot of hair|music modes enhance|hold a charge|long time|time and easy|easy to adjust|audiobook experience|size|lot of audiobooks,0,"Great headphones. These headphones are great. They hold a charge for a long time and easy to adjust to any size, especially for people with a lot of hair (me). What I like the most is the three different music modes at a touch of a button. I listen to a lot of audiobooks and these music modes enhance my audiobook experience. Definitely worth the purchase.",train
215,The are great quality,I like that they look like AirPods pro and have the best sound I have heard in a long time,Yazmin Jackson,2023-09-07,5,white,False,False,0,True,airpods pro|long time|AirPods pro|sound|heard,0,The are great quality. I like that they look like AirPods pro and have the best sound I have heard in a long time,train
332,Highly reccomend this item.,"Highly reccomend this item.
Sound quality and easy to use.",Ashley,2023-08-07,5,,False,False,0,True,highly reccomend|sound quality|Highly reccomend|reccomend this item|Sound quality|quality and easy,0,Highly reccomend this item.. Highly reccomend this item. Sound quality and easy to use.,train
372,Very Reliable,"Verified Purchase
I have had this for almost two years now and it is still in very good shape overall. One of the ear covers is slowly coming off, but it still works perfectly fine. I also use the headphones for hours every day for almost two years. The sound quality is good for any type of noise/music. At its price, I would absolutely recommend it! 5/5",Jared Craw,2023-05-14,5,black,False,False,1,True,verified purchase|sound quality|absolutely recommend|Verified Purchase|years|works perfectly fine|good shape|music|ear covers|covers is slowly|slowly coming|type of noise,1,"Very Reliable. Verified Purchase I have had this for almost two years now and it is still in very good shape overall. One of the ear covers is slowly coming off, but it still works perfectly fine. I also use the headphones for hours every day for almost two years. The sound quality is good for any type of noise/music. At its price, I would absolutely recommend it! 5/5",train
